gares,UIC,2015,2016,2017,2018,latitude,longitude
MONTARGIS,87684001,1992560,199746408611,2092101,2056804,48.006862,2.742783
VILLEPREUX LES CLAYES,87393413,2114748,211853335105,2111889,2056096,48.82391679999999,1.9930651999999998
VAIRES TORCY,87116293,2154317,214256826533,2119499,2055942,48.874953000000005,2.639986
LOUVRES,87276253,2127635,211769117319,2098994,2037198,49.0496573,2.5018967
LA CELLE SAINT CLOUD,87382432,2005736,203642962,2052235,2030244,48.84259,2.13797
TOURNAN,87116210,2100330,211843362871,2093241,2028849,48.739308799999996,2.75957134
HAZEBROUCK,87286302,2107672,205574676421,2154475,2024306,50.72501,2.54129
ANGOULEME,87583005,2020819,198672139788,2158917,2014635,45.653572,0.164608
LENS,87345025,2132431,213814979692,2198889,1994360,50.426818,2.8282540000000003
SAINT OUEN L'AUMONE LIESSE,87337980,1868201,202755431722,1838982,1981613,49.03387070000001,2.1279345000000003
LES AUBRAIS,87543017,2118157,202566234897,2083701,1981365,47.926801,1.9066290000000001
SAINT OUEN L'AUMONE,87276105,1880541,196789740717,1946678,1963666,49.04527,2.1065099999999997
VIENNE,87722587,1863346,186521890169,2002666,1949525,45.521207000000004,4.874211
ECOUEN EZANVILLE,87276394,1903610,196648677504,1983810,1943954,49.022729999999996,2.36325
SURVILLIERS FOSSES,87276261,2050303,203654123722,2010723,1943873,49.09961,2.52527
MOLSHEIM,87214577,1940185,195598930105,2007002,1941191,48.53705,7.500439999999999
VIRY CHATILLON,87681312,1809467,185885084585,1907740,1918576,48.676182,2.386391
MONTREUIL,87382879,2272813,213764208968,2041553,1912113,48.8067323,2.1511693
ROUGEMONT CHANTELOUP,87431791,1870285,189380734948,1918491,1907581,48.930895,2.5150200000000003
VILLETANEUSE UNIVERSITE T11,87697318,0,0,1926434,1872981,48.96,2.34251
DREUX,87393488,2230077,206685197032,2031177,1838875,48.731456099999996,1.3701603999999998
SEVRES VILLE D'AVRAY,87382341,2064453,241301359613,2122891,1836722,48.827459999999995,2.20051
BLOIS CHAMBORD,87574004,1918919,18743200597,1970757,1832376,47.585445,1.323823
ORRY LA VILLE COYE,87276279,1814885,185990055926,1967922,1831856,49.13895,2.49
ORLY VILLE,87546200,1816982,183793258308,1846200,1826175,48.741815,2.40265
LIMOGES BENEDICTINS,87592006,2139413,205466191722,2120295,1823482,45.836089,1.267356
VAUCRESSON,87382267,1620594,16769891,1764856,1820708,48.83688,2.15255
AUBERGENVILLE ELISABETHVILLE,87386730,1513894,161292667226,1729516,1814100,48.971825,1.8484987000000002
LYON SAINT PAUL,87721159,1482615,162359737933,1826738,1792549,45.766009999999994,4.827057
LAVAL,87478404,1664147,166634933584,1757286,1786886,48.076206,-0.760907
AVENUE DU PRESIDENT KENNEDY MAISON DE RADIO FRANCE,87543207,302743,299696347335,1836151,1776073,48.853322,2.279969
VANNES,87476606,1653574,165618651953,1803977,1765740,47.665169,-2.75245
GROS NOYER SAINT PRIX,87276592,1689355,172673743704,1739184,1747157,48.99682,2.2588
NICE SAINT AUGUSTIN,87756254,1345721,142771979839,1852579,1746451,43.670728000000004,7.2161990000000005
EPERNON,87394114,1892494,182613853534,1820802,1740343,48.6052471,1.6812578
ARPAJON,87545467,1657392,170810755081,1714359,1722101,48.58617,2.24112
LORIENT BRETAGNE SUD,87476002,1668636,164218542888,1750848,1721608,47.755596999999995,-3.366221
PERPIGNAN,87784009,2197968,195260816449,2036464,1713031,42.696292,2.879779
LES PAVILLONS SOUS BOIS,87113852,1580346,163521678492,1684482,1701075,48.902418,2.511781
ATHIS MONS,87545251,1661728,170909615839,1687816,1691590,48.712557000000004,2.4037490000000004
CHAVILLE RIVE DROITE,87382333,1875004,223362164323,1941751,1663237,48.812129999999996,2.18785
VILLENEUVE TRIAGE,87681809,1502738,156236464374,1620016,1647920,48.745197999999995,2.438192
TAVERNY,87276634,1538021,158355318359,1616718,1641770,49.02536,2.22187
BEAUVAIS,87313510,1683465,172444619415,1753022,1623600,49.42648,2.08869
