UIC,gares,insee,dep,lat long,geo-2
87337378,Dives-sur-Mer,14225,14,49.2822825375,-0.0885101738366
87444414,Dives-sur-Mer,14225,14,49.2822825375,-0.0885101738366
87478073,Dol-de-Bretagne,35095,35,48.5365764549,-1.74208286574
87713412,Dole,39198,39,47.0755032041,5.50089686455
87141119,Dombasle-sur-Meurthe,54159,54,48.618944778,6.3605371518
87718213,Domblans,39199,39,46.7693876818,5.58725478429
87396200,Domfront-en-Champagne,72119,72,48.1089450954,0.0446726216318
87316109,Dommartin,80246,80,49.795578259,2.40084740704
87721738,Dommartin,69076,69,45.8356258102,4.71495839609
87192658,Dommary-Baroncourt,55158,55,49.2841231094,5.7141855006
87276436,Domont,95199,95,49.0300256672,2.3232499804
87696427,Dompierre-sur-Besbre,3102,3,46.531222961,3.67654050995
87295774,Dompierre-sur-Helpe,59177,59,50.1413886016,3.85957200685
87172239,Donchery,8142,8,49.7377642999,4.89018207565
87481721,Donges,44052,44,47.3333790559,-2.07208422192
87142273,Donjeux,52175,52,48.3528237111,5.16200931769
87764290,Donzère,26116,26,44.4319063645,4.70884020873
87684233,Dordives,45127,45,48.1474267102,2.77409003059
87214338,Dorlisheim,67101,67,48.5197982472,7.48015798683
87171512,Dormans,51217,51,49.0625204877,3.64626612857
87345009,Douai,59178,59,50.3817696131,3.0908497222
87540179,Dourdan,91200,91,48.5359497248,1.99383442604
87545525,Dourdan,91200,91,48.5359497248,1.99383442604
87345165,Dourges,62274,62,50.4394157694,2.98643945906
87595280,Douzillac,24157,24,45.0906077214,0.407667800209
87271403,Drancy,93029,93,48.9234704239,2.44455878593
87565143,Drap,6054,6,43.7582700708,7.33732242536
87476770,Drefféac,44053,44,47.4681274047,-2.05953646058
87316075,Dreuil-lès-Amiens,80256,80,49.9156800264,2.22615705597
87393488,Dreux,28134,28,48.7486730076,1.35943692029
87212357,Drusenheim,67106,67,48.7611291682,7.94492224393
87571612,Druye,37099,37,47.2973233866,0.534862582788
87473553,Duault,22052,22,48.3648881584,-3.43600391492
87281006,Dunkerque,59183,59,51.0301076224,2.336691647
87214536,Duppigheim,67108,67,48.5332794321,7.5961754878
87641449,Durtol,63141,63,45.7961746244,3.05019070876
87214544,Duttlenheim,67112,67,48.5240652148,7.56993999916
87281469,Ebblinghem,59184,59,50.7342982417,2.41878369302
87214106,Ebersheim,67115,67,48.3025958801,7.49841062987
87725895,Échirolles,38151,38,45.1470601221,5.71538801943
87710731,École-Valentin,25212,25,47.2745484646,5.98899546159
87396564,Écommoy,72124,72,47.8253595581,0.285281801234
87484113,Écouflant,49129,49,47.5285378332,-0.518358885042
87694109,Écuisses,71187,71,46.7561322267,4.52498011518
87594168,Égletons,19073,19,45.4214861672,2.03662920415
87545475,Égly,91207,91,48.5775629577,2.22114929694
87597153,Éguzon-Chantôme,36070,36,46.4343643785,1.56955936363
87214239,Eichhoffen,67120,67,48.3786729609,7.44109666472
87141200,Einvaux,54175,54,48.4927835085,6.39295454544
87784207,Elne,66065,66,42.6004635136,2.97148628148
87144436,Éloyes,88158,88,48.093124514,6.62003316633
87763466,Embrun,5046,5,44.5806595907,6.47572057811
87276022,Enghien-les-Bains,95210,95,48.9696750866,2.30473878482
87287276,Ennevelin,59197,59,50.5391232397,3.12781741499
87753574,Ensuès-la-Redonne,13033,13,43.353805543,5.19932139107
87765826,Entraigues-sur-la-Sorgue,84043,84,43.9955551933,4.93274310152
87746115,Entrelacs,73010,73,45.7857777874,5.91788338963
87214528,Entzheim,67124,67,48.5356994828,7.63376342539
87611483,Enveitg,66066,66,42.496569982,1.89284453117
87784892,Enveitg,66066,66,42.496569982,1.89284453117
87281436,Éperlecques,62297,62,50.8184664329,2.1601721565
87171553,Épernay,51230,51,49.036967239,3.93160636554
87394114,Épernon,28140,28,48.5946655982,1.68514362689
87214221,Epfig,67125,67,48.3515792472,7.47088029083
87741280,Épierre,73109,73,45.4523096437,6.32487163702
87144006,Épinal,88160,88,48.1632265055,6.47984010532
87393652,Épinay-sur-Orge,91216,91,48.6725911706,2.31895354797
87545228,Épinay-sur-Orge,91216,91,48.6725911706,2.31895354797
87271122,Épinay-sur-Seine,93031,93,48.9550415719,2.31397852823
87271148,Épinay-sur-Seine,93031,93,48.9550415719,2.31397852823
