gares,total_2018,latitude,longitude
BRESSUIRE,23188,46.83844620000001,-0.4963269
BREST,1722004,48.38811,-4.478903
BRETENOUX BIARS,14024,44.9273692,1.8436871
BRETIGNY NORGES,10112,47.390044,5.1105838
BRETTEVILLE NORREY,19515,49.203411200000005,-0.5127396
BRIANCON,142121,44.889853,6.633007000000001
BRIGNAIS,274629,45.6737721,4.7636595999999995
BRIGNOUD,235085,45.26245,5.901472
BRION MONTREAL LA CLUSE,32292,46.1757013,5.5585203000000005
BRIONNE,9516,49.1964187,0.7115304
BRIOUDE,77937,45.300649299999996,3.3786343999999997
BRIOUZE,34356,48.7018622,-0.36820359999999996
BRIVE LA GAILLARDE,758883,45.152618,1.5286549999999999
BROU,74844,48.215758799999996,1.1606705
BRUZ,130109,48.0286,-1.7518088
BUEIL,103373,48.9253816,1.4435896000000001
BUGEAT,5992,45.6005968,1.9248147
BUSIGNY,49018,50.0397236,3.4461174
BUSSAC,3155,45.211928,-0.3682457
BUSSIERE GALANT,15815,45.6076224,1.0261372
BUZY EN BEARN,6855,43.1482723,-0.4558864
BYANS,4466,47.1185334,5.8520589
CADAUJAC,41353,44.7520628,-0.5376186
CAEN,2835925,49.176353999999996,-0.347613
CAGNES SUR MER,1180596,43.65813,7.148639999999999
CAHORS,299131,44.449275,1.433325
CALAIS FRETHUN,723716,50.901221,1.810891
CALAIS VILLE,895183,50.953481,1.8508189999999998
CALLAC,23917,48.4062201,-3.419782
CAMBO LES BAINS,4459,43.365624200000006,-1.3966849
CAMBRAI,627458,50.17662,3.24118
CANNES,3503089,43.553839,7.019682
CANNES LA BOCCA,217673,43.548787,6.986600999999999
CAP D'AIL,77459,43.72053820000001,7.394336200000001
CAPDENAC,71224,44.5782458,2.0779631999999997
CAPVERN,3673,43.103345399999995,0.3296393
CARBONNE,211810,43.298206,1.212531
CARCASSONNE,693148,43.218029,2.351824
CARENTAN,182871,49.302482,-1.2449379999999999
CARHAIX,44750,48.2780022,-3.5622172999999995
CARMAUX,76308,44.048782,2.152401
CARNOLES,569840,43.762029999999996,7.481389999999999
CARNOULES,90048,43.2974104,6.186253099999999
CARRY LE ROUET,73731,43.336591999999996,5.153594
CASSIS,256460,43.23406,5.5530550000000005
