gares,UIC,2015,2016,2017,2018,latitude,longitude
MONTAUBAN VILLE BOURBON,87611244,1401464,1382315,1434746,1209352,44.014387,1.341496
QUIMPER,87474098,1147732,1100753,1187455,1189089,47.994455,-4.092103
BAILLEUL,87286179,1194529,1194823,1247895,1180319,50.72916,2.73445
NEMOURS SAINT PIERRE,87684126,1237961,1218582,1216071,1173364,48.267884,2.685754
AUBAGNE,87751750,933784,1052462,1214671,1168800,43.296045,5.56658
CLERMONT DE L'OISE,87313304,1169331,1162595,1225192,1158716,49.38531,2.41767
ANCENIS,87481192,1076664,1115564,1203715,1157751,47.369334,-1.177763
ORCHIES,87286583,1165755,1140289,1195487,1154080,50.47705,3.2488799999999998
SAINT AGNE,87611301,1422512,1355397,1383599,1147507,43.579674,1.450209
ARCACHON,87582668,1006452,991197,1137993,1134798,44.659009000000005,-1.16523
YVETOT,87413385,1168746,1136543,1150146,1128661,49.622035,0.750115
LUNEVILLE,87141150,1154733,1096958,1148092,1123412,48.588233,6.497269999999999
CALAIS VILLE,87317263,1343647,1249149,1227921,1118979,50.953481,1.8508189999999998
SAINT OMER,87281444,1114693,1061150,1142144,1082127,50.753620399999996,2.2667624
DAX,87673202,1121643,1092531,1163250,1080759,43.720471999999994,-1.050301
LYON JEAN MACE,87282624,738648,793401,969865,1071943,45.74495,4.8413900000000005
BIGANOS FACTURE,87582478,987477,964922,1080592,1067421,44.637384000000004,-0.96621
ROANNE,87726802,1207929,1187719,1251317,1065179,46.039383,4.063207
SAINT NAZAIRE,87481705,1129524,1103197,1158481,1063809,47.286412,-2.211096
LA VERPILLIERE,87723395,937806,919035,1040627,1062930,45.6276,5.150866000000001
BELLEVILLE SUR SAONE,87721357,1072268,1039522,1085241,1062798,46.111917,4.729028
LA ROCHE SUR YON,87486019,1132205,1093015,1126164,1059245,46.67212,-1.4356209999999998
LA TOUR DU PIN,87723478,1025289,1059154,1078152,1055591,45.560277,5.450092
BOURGES,87576207,1196322,1100019,1143891,1054065,47.094145000000005,2.394255
CLISSON,87481440,965360,1000606,1054163,1047319,47.086141999999995,-1.2861719999999999
MORET VENEUX LES SABLONS,87682278,1148231,1115475,1096958,1041975,48.37838,2.79941
RIOM CHATEL GUYON,87734053,1097593,1063358,1130845,1039338,45.889965000000004,3.120498
PESSAC,87581751,931699,877485,984737,1037838,44.80461,-0.63185
NEVERS,87696005,1094729,1039452,1100460,1023305,46.987282,3.150743
MONTELIMAR,87764001,1188760,1127445,1154902,1014367,44.559079,4.7447919999999995
MERU,87313668,1004713,1071806,1121708,1006113,49.23233,2.13254
LE PEAGE DE ROUSSILLON,87722678,990606,982502,1047008,999360,45.371796999999994,4.795401999999999
VIERZON,87576009,1107242,1070652,1081849,992655,47.226496999999995,2.059822
DOLE,87713412,1003796,1012237,1070036,991069,47.096084000000005,5.488105
GIVORS,87722405,1022142,1016986,1104102,988341,45.584948,4.7660860000000005
AURAY,87476200,988235,998221,1037396,982728,47.68022,-2.999995
BOULOGNE,87317586,1151770,1072734,1072222,980670,50.7157,1.60964
PONT SAINTE MAXENCE,87276329,1045065,1027894,1052981,974670,49.309740000000005,2.60289
LIBERCOURT,87345256,981243,955405,981178,964264,50.48025,3.00867
AIX EN PROVENCE,87751404,1264519,1247617,1382849,961434,43.522912,5.445345
PERIGUEUX,87595009,1128336,1086107,1118480,959698,45.187408000000005,0.707879
BEAUNE,87713545,1068638,992019,1073924,958452,47.023053000000004,4.848379
ARMENTIERES,87286146,1014340,1021044,1033285,952158,50.68084,2.87763
BRIVE LA GAILLARDE,87594002,1113072,1045726,1080750,948604,45.152618,1.5286549999999999
VITRE,87471508,887488,897955,940709,945092,48.122671000000004,-1.211754
BAYONNE,87673004,942793,899855,1012545,931467,43.496801,-1.470306
LES ARCS DRAGUIGNAN,87755447,994419,1004161,1089376,930626,43.455524,6.4824980000000005
