origin,destination
85010215,85010231
85010215,85161554
85010215,85162727
85010215,85162735
85010215,85162750
85010215,85162834
85010215,85171421
85010215,87745497
85010215,87745588
85010215,87745596
85010215,87745620
85010215,87745646
85010215,87745679
85010215,87746305
85010215,87746313
85010215,87746339
85010215,87746347
85010215,87746370
85010215,87746412
85010215,87746438
85010215,87746479
85010215,87746511
85010223,85010082
85010223,85010116
85010223,85010124
85010223,85010132
85010223,85010140
85010223,85010157
85010223,85010207
85010223,85010215
85010223,85010223
85010223,85010231
85010223,85161554
85010223,85162727
85010223,85162735
85010223,85162750
85010223,85162834
85010223,85171421
85010223,87745497
85010223,87745588
85010223,87745596
85010223,87745620
85010223,87745646
85010223,87745679
85010223,87746305
85010223,87746313
85010223,87746339
85010223,87746347
85010223,87746370
85010223,87746412
85010223,87746438
85010223,87746479
85010223,87746511
85010231,85010082
85010231,85010116
85010231,85010124
85010231,85010132
85010231,85010140
85010231,85010157
85010231,85010207
85010231,85010215
85010231,85010223
85010231,85010231
85010231,85161554
85010231,85162727
85010231,85162735
85010231,85162750
85010231,85162834
85010231,85171421
85010231,87745497
85010231,87745588
85010231,87745596
85010231,87745620
85010231,87745646
85010231,87745679
85010231,87746305
85010231,87746313
85010231,87746339
85010231,87746347
85010231,87746370
85010231,87746412
85010231,87746438
85010231,87746479
85010231,87746511
85011031,85011031
85011031,87685784
85011031,87699850
85011031,87713412
85011031,87715003
85011031,87715136
85011031,87715193
85011031,87715201
85011031,87715219
85011031,87715227
85011031,87715235
85011031,87715250
85011031,87715268
85011031,87715516
85011031,87715524
85011031,87718833
85042150,85042150
85042150,85042218
85042150,87352047
85042150,87713040
85042150,87713412
